Candidate                                                                            Votes  Status
---------------------------------------------------------------------------------  -------  --------
Carlos C. Vasquez | ElevateCal | Co-Chair, Disabled Students Commission | ♥         383.00  Elected
Megan Yao | Student Action | East Asian, International, Pre-Graduate | ♥            383.00  Elected
Stephanie Wong | ElevateCal | Asian American, SVSH, Housing, Reform | ♥             383.00  Elected
Emma Centeno | Independent | Eco Community Endorsed | ♥                             383.00  Elected
Shay Cohen | Independent | Jewish Community, SVSH, Transparency | ♥                 383.00  Elected
Deborah Kim | Independent | Christian, Mental Wellness, Com. Service | ♥            383.00  Elected
Shri Gopal | ElevateCal | Student Needs, STEM/Business, Greek Life | ♥              383.00  Elected
Charles Peng | Student Action | International, East Asian, & First-Gen | ♥          383.00  Elected
Akash Ponna | Student Action | Dance, Wellness, Equity & Inclusion | ♥              383.00  Elected
Mahathi Kandimalla | Student Action | Prehealth, Sexual Health, Student Needs | ♥   383.00  Elected
Manuel Cisneros Jr | Independent | #baddies4manny! | ♥                              383.00  Elected
Anjali Jogia-Sattar | Student Action | South Asian Endorsed/Gender Equity | ♥       383.00  Elected
Tyler Mahomes | Student Action | Greek Reform, Student Health, DEI | ♥              362.80  Elected
Deena Ali | Independent | MEMSSA* Endorsed Candidate | ♥                            330.15  Elected
Yasamin Hatefi | ElevateCal | Transfer, Housing, Tang Center Reform | ♥             330.04  Elected
Josh Lee | Independent | WILL ACTUALLY REPRESENT GREEK LIFE                         329.72  Elected
Kailen Grottel-Brown | Independent | ♥                                              299.31  Elected
Soha Manzoor | ElevateCal | ♥                                                       290.84  Elected
Thin Rati Oo | Independent | Activist: First-Gen, POC, Pre-Law | ♥                  260.20  Elected
Raymond Hufnagel | ElevateCal | Transition to Cal, Mental/Sexual Health | ♥         258.72  Elected
Bridgette Meshkani | Independent | Safety, MH, and PHC | ♥                          246.54  Rejected
Aryan Deorah | Independent | RSO Funding, Tech Equity | Independent | ♥               0.00  Rejected
Hitesh Kamisetty | Student Action | Engineering/STEM, Academic Access, DEI | ♥        0.00  Rejected
William Sutton | ElevateCal | Transfer, minority, and veteran support | ♥             0.00  Rejected
Osvaldo Barba | Independent | ♥                                                       0.00  Rejected
Jordan Ullman | Student Action | Jewish, Pre-Graduate, Student Wellness | ♥           0.00  Rejected
Lauren Hibbert | Student Action | Pre-Law, Business, and Consulting Access | ♥        0.00  Rejected
Brandon Beck | Independent | ♥                                                        0.00  Rejected
Ryusei Best Hayashi | Student Action | International—Entrepreneur—Environment | ♥     0.00  Rejected
Daniel “Berkeley Ender” Edrisian | Independent | ♥                                    0.00  Rejected
Daniel "Berkeley Ender" Edrisian | Independent | ♥                                    0.00  Rejected
Zach Mackin | Independent | ♥                                                         0.00  Rejected
Enrique Martinez | Independent | ♥                                                    0.00  Rejected
No Response                                                                           0.00  Rejected
Blank Votes                                                                         751.68  Rejected
